nome,data,total
Daniel Pirajá,2016-02-13,169.20
Simão Rivero,2016-02-14,11364.30
Godo Capiperibe,2016-02-14,7901.00
Capitolino Bahía,2016-02-15,8280.90
Tobias Furtado,2016-02-19,3616.75
Tobias Furtado,2016-02-20,7820.85
Jéssica Castelão,2016-02-21,358.34
Daniel Pirajá,2016-02-21,2609.08
Napoleão Méndez,2016-02-21,3886.50
Godo Capiperibe,2016-02-22,6678.50
Hélio Liberato,2016-02-24,3838.61
Daniel Pirajá,2016-02-24,18072.90
Hélio Liberato,2016-02-24,114.75
Daniel Pirajá,2016-02-25,2009.40
Godo Capiperibe,2016-02-27,15424.04
Daniel Pirajá,2016-02-27,7038.77
Jéssica Castelão,2016-02-27,127.84
Tobias Furtado,2016-02-28,9007.00
Tobias Furtado,2016-03-02,10737.00
Capitolino Bahía,2016-03-04,9201.00
Daniel Pirajá,2016-03-04,91.80
Godo Capiperibe,2016-03-04,13206.80
Iberê Lacerda,2016-03-04,7233.50
Jéssica Castelão,2016-03-07,20543.44
Simão Rivero,2016-03-08,15377.27
Napoleão Méndez,2016-03-09,7196.40
Simão Rivero,2016-03-10,8280.90
Jéssica Castelão,2016-03-11,13705.84
Capitolino Bahía,2016-03-12,389.55
Iberê Lacerda,2016-03-13,8368.88
Capitolino Bahía,2016-03-14,11820.24
Jéssica Castelão,2016-03-14,11818.00
Godo Capiperibe,2016-03-15,7205.75
Godo Capiperibe,2016-03-15,103.28
Tobias Furtado,2016-03-17,5163.00
Simão Rivero,2016-03-17,7038.77
Napoleão Méndez,2016-03-18,6766.75
Iberê Lacerda,2016-03-18,213.50
Tobias Furtado,2016-03-19,17165.79
Iberê Lacerda,2016-03-23,143.82
Armando Lago,2016-03-23,17818.75
Jéssica Castelão,2016-03-23,4805.28
Capitolino Bahía,2016-03-23,2642.82
Armando Lago,2016-03-28,233.58
Tobias Furtado,2016-03-29,155.00
Capitolino Bahía,2016-03-30,2428.79
Hélio Liberato,2016-03-30,29307.48
Godo Capiperibe,2016-04-01,20338.43
Godo Capiperibe,2016-04-01,6771.78
Jéssica Castelão,2016-04-02,5631.01
Simão Rivero,2016-04-04,207.00
Tobias Furtado,2016-04-05,16561.80
Godo Capiperibe,2016-04-10,21357.00
Simão Rivero,2016-04-11,3048.80
Capitolino Bahía,2016-04-12,12123.48
Daniel Pirajá,2016-04-13,9310.66
Hélio Liberato,2016-04-13,18413.60
Tobias Furtado,2016-04-13,498.73
Simão Rivero,2016-04-14,2847.78
Hélio Liberato,2016-04-14,155.00
Napoleão Méndez,2016-04-16,159.80
Daniel Pirajá,2016-04-17,159.80
Jéssica Castelão,2016-04-17,4640.00
Iberê Lacerda,2016-04-17,17527.65
Daniel Pirajá,2016-04-18,3289.00
Simão Rivero,2016-04-18,20082.85
Hélio Liberato,2016-04-19,15911.45
Godo Capiperibe,2016-04-20,6509.30
Iberê Lacerda,2016-04-21,506.70
Godo Capiperibe,2016-04-21,5532.42
Napoleão Méndez,2016-04-22,5180.60
Armando Lago,2016-04-23,2242.35
Jéssica Castelão,2016-04-23,5786.80
Napoleão Méndez,2016-04-25,16184.67
Tobias Furtado,2016-04-26,3086.75
Daniel Pirajá,2016-04-26,219.25
Hélio Liberato,2016-04-29,10831.11
Tobias Furtado,2016-04-29,2914.16
Capitolino Bahía,2016-04-29,10384.85
Napoleão Méndez,2016-05-01,139.50
Iberê Lacerda,2016-05-01,2521.10
Daniel Pirajá,2016-05-03,8514.01
Capitolino Bahía,2016-05-04,6509.30
Tobias Furtado,2016-05-05,12817.75
Hélio Liberato,2016-05-05,5453.55
Napoleão Méndez,2016-05-05,5609.60
Capitolino Bahía,2016-05-06,115.06
Capitolino Bahía,2016-05-06,10199.50
Tobias Furtado,2016-05-06,2464.60
Godo Capiperibe,2016-05-08,9321.80
Iberê Lacerda,2016-05-09,7360.80
Hélio Liberato,2016-05-09,291.55
Simão Rivero,2016-05-10,6697.30
Hélio Liberato,2016-05-13,4386.75
Armando Lago,2016-05-14,2135.52
Armando Lago,2016-05-14,5315.44
Daniel Pirajá,2016-05-14,7990.05
Tobias Furtado,2016-05-15,159.80
Jéssica Castelão,2016-05-17,18786.84
Tobias Furtado,2016-05-17,11349.63
Iberê Lacerda,2016-05-18,5593.40
Armando Lago,2016-05-19,2268.99
Daniel Pirajá,2016-05-19,19528.45
Capitolino Bahía,2016-05-22,10178.74
Simão Rivero,2016-05-23,13570.57
Capitolino Bahía,2016-05-24,3207.57
Godo Capiperibe,2016-05-26,9122.82
Hélio Liberato,2016-05-27,8966.75
Armando Lago,2016-05-28,9201.00
Simão Rivero,2016-05-28,2521.10
Daniel Pirajá,2016-05-30,496.40
Godo Capiperibe,2016-05-30,131.75
Capitolino Bahía,2016-05-30,310.00
Tobias Furtado,2016-05-30,3837.95
Hélio Liberato,2016-06-02,28660.30
Iberê Lacerda,2016-06-04,21471.75
Napoleão Méndez,2016-06-06,6509.30
Iberê Lacerda,2016-06-08,159.80
Simão Rivero,2016-06-09,4780.45
Tobias Furtado,2016-06-12,3398.90
Tobias Furtado,2016-06-15,121.50
Tobias Furtado,2016-06-15,16959.20
Napoleão Méndez,2016-06-15,5180.60
Simão Rivero,2016-06-15,13158.10
Capitolino Bahía,2016-06-16,3289.00
Iberê Lacerda,2016-06-16,3448.03
Daniel Pirajá,2016-06-17,2016.88
Simão Rivero,2016-06-17,20345.23
Capitolino Bahía,2016-06-17,169.20
Iberê Lacerda,2016-06-17,9413.50
Jéssica Castelão,2016-06-19,8852.00
Godo Capiperibe,2016-06-20,7674.60
Hélio Liberato,2016-06-21,15531.90
Iberê Lacerda,2016-06-24,188.00
Hélio Liberato,2016-06-25,387.70
Hélio Liberato,2016-06-26,17466.93
Tobias Furtado,2016-06-27,16561.80
Jéssica Castelão,2016-06-28,7348.25
Armando Lago,2016-06-29,139.50
Capitolino Bahía,2016-06-30,22751.40
Capitolino Bahía,2016-07-03,9446.44
Hélio Liberato,2016-07-04,10618.95
Daniel Pirajá,2016-07-05,7793.00
Capitolino Bahía,2016-07-05,8510.00
Napoleão Méndez,2016-07-05,3110.00
Iberê Lacerda,2016-07-06,92.00
Simão Rivero,2016-07-06,5552.58
Simão Rivero,2016-07-06,10021.88
Napoleão Méndez,2016-07-06,7094.78
Iberê Lacerda,2016-07-09,491.58
Godo Capiperibe,2016-07-10,7492.00
Simão Rivero,2016-07-11,2652.85
Capitolino Bahía,2016-07-11,103.50
Tobias Furtado,2016-07-12,9322.50
Tobias Furtado,2016-07-13,4917.36
Tobias Furtado,2016-07-15,5858.37
Napoleão Méndez,2016-07-16,206.56
Capitolino Bahía,2016-07-16,4521.16
Godo Capiperibe,2016-07-17,3893.25
Armando Lago,2016-07-18,2955.00
Godo Capiperibe,2016-07-18,7007.26
Tobias Furtado,2016-07-19,14416.40
Armando Lago,2016-07-20,7524.20
Godo Capiperibe,2016-07-21,11168.60
Daniel Pirajá,2016-07-23,230.00
Simão Rivero,2016-07-25,19416.16
Tobias Furtado,2016-07-25,7820.85
Daniel Pirajá,2016-07-27,7312.80
Jéssica Castelão,2016-07-28,2955.00
Simão Rivero,2016-07-28,16062.00
Iberê Lacerda,2016-07-30,15048.40
Tobias Furtado,2016-08-02,17567.10
Napoleão Méndez,2016-08-05,25146.85
Napoleão Méndez,2016-08-06,97.75
Jéssica Castelão,2016-08-06,5910.00
Capitolino Bahía,2016-08-09,12535.90
Capitolino Bahía,2016-08-09,217.80
Jéssica Castelão,2016-08-09,175.96
Daniel Pirajá,2016-08-10,18312.68
Capitolino Bahía,2016-08-10,2588.08
Daniel Pirajá,2016-08-11,16108.03
Hélio Liberato,2016-08-11,15482.45
Iberê Lacerda,2016-08-12,3955.25
Daniel Pirajá,2016-08-12,10973.53
Capitolino Bahía,2016-08-12,2268.99
Hélio Liberato,2016-08-15,169.20
Armando Lago,2016-08-15,22711.68
Armando Lago,2016-08-16,4449.95
Jéssica Castelão,2016-08-16,229.50
Hélio Liberato,2016-08-16,97.20
Iberê Lacerda,2016-08-18,26852.87
Iberê Lacerda,2016-08-18,6075.82
Armando Lago,2016-08-20,10409.36
Iberê Lacerda,2016-08-20,13814.22
Daniel Pirajá,2016-08-21,13295.00
Tobias Furtado,2016-08-22,8976.80
Daniel Pirajá,2016-08-22,5782.68
Armando Lago,2016-08-22,7997.20
Daniel Pirajá,2016-08-23,19438.51
Tobias Furtado,2016-08-25,3984.50
Napoleão Méndez,2016-08-26,7360.80
Armando Lago,2016-08-26,6063.75
Hélio Liberato,2016-08-27,15451.00
Simão Rivero,2016-08-31,15346.92
Daniel Pirajá,2016-09-02,97.75
Capitolino Bahía,2016-09-04,16230.02
Armando Lago,2016-09-05,20935.38
Napoleão Méndez,2016-09-05,165.24
Simão Rivero,2016-09-06,6206.80
Daniel Pirajá,2016-09-07,9201.00
Armando Lago,2016-09-08,215.80
Napoleão Méndez,2016-09-09,8636.90
Napoleão Méndez,2016-09-10,2701.83
Napoleão Méndez,2016-09-11,3317.50
Capitolino Bahía,2016-09-12,263.08
Tobias Furtado,2016-09-13,2511.75
Tobias Furtado,2016-09-15,5932.00
Hélio Liberato,2016-09-16,115.00
Iberê Lacerda,2016-09-17,8852.00
Jéssica Castelão,2016-09-18,175.96
Tobias Furtado,2016-09-18,324.20
Simão Rivero,2016-09-19,8955.50
Simão Rivero,2016-09-22,3255.08
Hélio Liberato,2016-09-24,11676.09
Armando Lago,2016-09-25,7778.70
Daniel Pirajá,2016-09-25,2905.90
Hélio Liberato,2016-09-25,7010.78
Jéssica Castelão,2016-09-26,2268.99
Tobias Furtado,2016-09-26,15416.98
Tobias Furtado,2016-09-26,4255.00
Jéssica Castelão,2016-09-27,7658.00
Tobias Furtado,2016-09-28,439.20
Armando Lago,2016-09-28,11488.10
Daniel Pirajá,2016-09-29,4358.28
Jéssica Castelão,2016-09-29,13543.56
Simão Rivero,2016-10-01,7932.45
Capitolino Bahía,2016-10-02,12682.50
Daniel Pirajá,2016-10-02,6683.79
Hélio Liberato,2016-10-06,12167.00
Iberê Lacerda,2016-10-07,3131.90
Hélio Liberato,2016-10-09,6771.78
Simão Rivero,2016-10-10,4836.70
Hélio Liberato,2016-10-12,121.50
Armando Lago,2016-10-13,2511.75
Daniel Pirajá,2016-10-13,8852.00
Armando Lago,2016-10-15,16561.80
Godo Capiperibe,2016-10-15,3616.75
Daniel Pirajá,2016-10-16,210.80
Hélio Liberato,2016-10-16,7935.60
Tobias Furtado,2016-10-16,135.00
Armando Lago,2016-10-17,7674.60
Simão Rivero,2016-10-18,2656.10
Capitolino Bahía,2016-10-18,13522.61
Jéssica Castelão,2016-10-20,10126.05
Capitolino Bahía,2016-10-22,2656.10
Tobias Furtado,2016-10-22,2618.85
Armando Lago,2016-10-23,3255.08
Godo Capiperibe,2016-10-25,115.00
Godo Capiperibe,2016-10-25,253.58
Daniel Pirajá,2016-10-26,5023.50
Simão Rivero,2016-10-26,2503.56
Simão Rivero,2016-10-26,5790.81
Capitolino Bahía,2016-10-27,29180.40
Iberê Lacerda,2016-10-27,2770.03
Simão Rivero,2016-10-28,8060.43
Simão Rivero,2016-10-28,6369.38
Napoleão Méndez,2016-10-31,3080.75
Tobias Furtado,2016-10-31,2375.58
Godo Capiperibe,2016-11-01,7659.00
Simão Rivero,2016-11-01,2757.38
Daniel Pirajá,2016-11-01,19966.60
Capitolino Bahía,2016-11-02,8435.90
Armando Lago,2016-11-02,8017.88
Armando Lago,2016-11-02,12075.85
Jéssica Castelão,2016-11-03,12293.96
Daniel Pirajá,2016-11-04,251.80
Hélio Liberato,2016-11-05,8852.00
Hélio Liberato,2016-11-07,2771.10
Hélio Liberato,2016-11-07,10658.90
Armando Lago,2016-11-09,143.82
Iberê Lacerda,2016-11-09,7627.70
Daniel Pirajá,2016-11-10,19527.80
Hélio Liberato,2016-11-11,159.80
Capitolino Bahía,2016-11-12,13038.10
Iberê Lacerda,2016-11-12,7183.75
Simão Rivero,2016-11-13,247.32
Simão Rivero,2016-11-15,9872.38
Tobias Furtado,2016-11-16,105.40
Iberê Lacerda,2016-11-16,32495.40
Hélio Liberato,2016-11-17,8510.00
Tobias Furtado,2016-11-17,3829.50
Tobias Furtado,2016-11-19,319.60
Hélio Liberato,2016-11-19,2511.75
Capitolino Bahía,2016-11-21,103.50
Simão Rivero,2016-11-22,2669.40
Godo Capiperibe,2016-11-22,10008.20
Godo Capiperibe,2016-11-22,14746.26
Hélio Liberato,2016-11-23,27016.24
Jéssica Castelão,2016-11-23,6027.57
Iberê Lacerda,2016-11-24,422.78
Capitolino Bahía,2016-11-24,20613.18
Godo Capiperibe,2016-11-25,220.40
Armando Lago,2016-11-25,253.94
Napoleão Méndez,2016-11-25,229.75
Iberê Lacerda,2016-11-25,12161.90
Hélio Liberato,2016-11-28,2955.00
Iberê Lacerda,2016-11-29,324.20
Simão Rivero,2016-11-30,10634.02
Jéssica Castelão,2016-11-30,10614.00
Daniel Pirajá,2016-12-01,13110.60
Daniel Pirajá,2016-12-02,169.20
Daniel Pirajá,2016-12-02,8241.60
Daniel Pirajá,2016-12-03,7130.57
Hélio Liberato,2016-12-04,6509.30
Jéssica Castelão,2016-12-04,5766.83
Jéssica Castelão,2016-12-05,2260.58
Armando Lago,2016-12-05,17096.16
Iberê Lacerda,2016-12-06,3060.40
Jéssica Castelão,2016-12-09,12130.40
Simão Rivero,2016-12-10,9064.50
Napoleão Méndez,2016-12-10,155.00
Jéssica Castelão,2016-12-11,13671.08
Simão Rivero,2016-12-12,14418.77
Godo Capiperibe,2016-12-12,8510.00
Jéssica Castelão,2016-12-13,9379.44
Jéssica Castelão,2016-12-13,2648.94
Tobias Furtado,2016-12-14,194.40
Hélio Liberato,2016-12-15,18402.00
Napoleão Méndez,2016-12-16,4376.50
Napoleão Méndez,2016-12-17,253.58
Napoleão Méndez,2016-12-18,490.88
Napoleão Méndez,2016-12-19,13439.78
Jéssica Castelão,2016-12-20,103.28
Tobias Furtado,2016-12-20,5932.00
Simão Rivero,2016-12-20,8901.60
Godo Capiperibe,2016-12-21,16618.98
Capitolino Bahía,2016-12-21,8435.90
Tobias Furtado,2016-12-22,14058.80
Capitolino Bahía,2016-12-23,10415.38
Capitolino Bahía,2016-12-23,16995.20
Armando Lago,2016-12-24,5183.30
Godo Capiperibe,2016-12-25,14592.63
Iberê Lacerda,2016-12-28,18402.00
